Type,Tag,Title,Regexp,Other,ReleaseType,TypeExclusive
arch,ARM64,,aarch[\-\._ ]?64|arm[\-\._ ]?64,,app,1
arch,ARM,,arm32|(?-i:ARM),,app,1
arch,64bit,,64[\-\._ ]?bit,,app,
arch,32bit,,32[\-\._ ]?bit,,app,
arch,16bit,,(?-i:16[\-\._ ]?[bB]it),,app,
arch,DARWiN,Darwin (macOS),(?-i:DARW[iI]N),,app,1
arch,ia64,Itanium,ia?64,,app,1
arch,PPC,PowerPC,,,app,1
arch,s390,IBM System/390,,,app,1
arch,x86,,x86|intel32|i32,,app,1
arch,x64,,x64|amd64,,app,1
audio,AAC-LC,Advanced Audio Coding (LC),aac[\-\._ ]?lc,,,
audio,AAC,Advanced Audio Coding,,,,
audio,AC3D,,ac[\-\._ ]?3d,,movie,
audio,Atmos,Dolby Atmos,,,movie,
audio,24BIT,,(?-i:24BIT),,music,1
audio,16BIT,,(?-i:16BIT),,music,1
audio,CBR,Constant Bit Rate,,,music,1
audio,DDPA,Dolby Digital+ Atmos (E-AC-3+Atmos),dd[p\+]a,,movie,
audio,DDP,Dolby Digital+ (E-AC-3),dd[p\+]|e[\-\._ ]?ac3,,movie,
audio,DD,Dolby Digital (AC-3),dd|ac3|dolby[\-\._ ]?digital,,movie,
audio,DTS-HD.HRA,DTS (HD HRA),dts[\-\._ ]?hd[\-\._ ]?hra,,movie,
audio,DTS-HD.HR,DTS (HD HR),dts[\-\._ ]?hd[\-\._ ]?hr,,movie,
audio,DTS-HD.MA,DTS (HD MA),dts[\-\._ ]?hd[\-\._ ]?ma,,movie,
audio,DTS-HD,DTS (HD),dts[\-\._ ]?hd[\-\._ ]?,,movie,
audio,DTS-MA,DTS (MA),dts[\-\._ ]?ma[\-\._ ]?,,movie,
audio,DTS-X,DTS (X),dts[\-\._ ]?x,,movie,
audio,DTS,,,,movie,
audio,DUAL.AUDIO,Dual Audio,dual(?:[\-\._ ]?audio)?,,movie,
audio,EAC3D,,,,,
audio,ES,Dolby Digital (ES),(?-i:ES),,movie,
audio,EX,Dolby Digital (EX),(?-i:EX),,movie,
audio,FLAC,Free Lossless Audio Codec,,,,
audio,320Kbps,320 Kbps,320[\-\._ ]?kbps,,music,1
audio,256Kbps,256 Kbps,256[\-\._ ]?kbps,,music,1
audio,192Kbps,192 Kbps,192[\-\._ ]?kbps,,music,1
audio,128Kbps,128 Kbps,128[\-\._ ]?kbps,,music,1
audio,LiNE,Line,(?-i:L[iI]NE),,,
audio,LOSSLESS,,(?-i:LOSSLESS),,,
audio,LPCM,Linear Pulse-Code Modulation,,,,
audio,MP3,,,,,
audio,OGG,,,,,
audio,OPUS,,,,,
audio,TrueHD,Dolby TrueHD,(?:dolby[\-\._ ]?)?true[\-\._ ]?hd,,movie,
audio,VBR,Variable Bit Rate,,,music,1
channels,7.1,,7\.1(?:[\-\._ ]?audios)?,,,
channels,7.0,,7\.0(?:[\-\._ ]?audios)?,,,
channels,6.1,,6\.1(?:[\-\._ ]?audios)?,,,
channels,6.0,,6\.0(?:[\-\._ ]?audios)?,,,
channels,5.1,,5\.1(?:[\-\._ ]?audios)?,,,
channels,5.0,,5\.0(?:[\-\._ ]?audios)?,,,
channels,4.1,,4\.1(?:[\-\._ ]?audios)?,,,
channels,4.0,,4\.0(?:[\-\._ ]?audios)?,,,
channels,3.1,,3\.1(?:[\-\._ ]?audios)?,,,
